symbol,company,last.sale.price,market.cap,country,ipo.year,industry
CNS,Cohen & Steers Inc Common Stock,91.49,4415034943,United States,2004,Investment Managers
CNVY,Convey Health Solutions Holdings Inc. Common Stock,8.03,587749193,,2021,Retail: Computer Software & Peripheral Equipment
CNX,CNX Resources Corporation Common Stock,14.54,3070844743,United States,1999,Oil & Gas Production
CO,Global Cord Blood Corporation Common Stock,4.2,510514515,Hong Kong,NA,Managed Health Care
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,29.64,1954778600,United States,2006,
CODI^A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,25.8035,NA,United States,NA,
CODI^B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,27.71,NA,United States,NA,
CODI^C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,26.74,NA,United States,NA,
COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares,1.07,23009613,China,2016,Service to the Health Industry
COF,Capital One Financial Corporation Common Stock,145.59,61966315424,United States,1994,Finance Companies
COF^I,Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series I of the Issuer,26.69,NA,United States,NA,
COF^J,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock Series J,26.02,NA,United States,NA,
COF^K,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series K,25.76,NA,United States,NA,
COF^L,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series L,25.49,NA,United States,NA,
COF^N,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series N,25.47,NA,United States,NA,
COLD,Americold Realty Trust Common Shares,32.7,8723361506,United States,2018,Real Estate
COMP,Compass Inc. Class A Common Stock,8.8,3579637890,,2021,EDP Services
COO,The Cooper Companies Inc. Common Stock,420.68,20784965854,United States,NA,Ophthalmic Goods
COOK,Traeger Inc. Common Stock,11.9,1398820200,,2021,Wholesale Distributors
COP,ConocoPhillips Common Stock,72.92,96177605542,United States,NA,Integrated oil Companies
CORR,CorEnergy Infrastructure Trust Inc. Common Stock,3,44600397,United States,NA,Real Estate Investment Trusts
CORR^A,CorEnergy Infrastructure Trust Inc. Depositary Shares each representing a 1/100th fractional interest of a share of 7.375% Series A Cumulative Redeemable Preferred Stock,19.8999,NA,United States,NA,
CORS,Corsair Partnering Corporation Class A Ordinary Shares,9.67,287629315,,2021,
COTY,Coty Inc. Class A Common Stock,10.43,8536708998,United States,2013,Package Goods/Cosmetics
COUR,Coursera Inc. Common Stock,24.17,3398054209,,2021,Other Consumer Services
CP,Canadian Pacific Railway Limited Common Stock,72.03,66957247129,Canada,NA,
CPA,Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock,81.72,3472347849,Panama,2005,Air Freight/Delivery Services
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),6.11,523146565,Peru,NA,Building Materials
CPB,Campbell Soup Company Common Stock,43.22,13041111087,United States,NA,Packaged Foods
CPE,Callon Petroleum Company Common Stock,50.61,3105569790,United States,NA,Oil & Gas Production
CPF,Central Pacific Financial Corp New,28.24,789799037,United States,NA,Major Banks
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),5.2,3026330154,Canada,NA,
CPK,Chesapeake Utilities Corporation Common Stock,143.22,2521272951,United States,NA,Oil & Gas Production
CPLG,CorePoint Lodging Inc. Common Stock,15.67,913252176,,2018,Real Estate Investment Trusts
CPNG,Coupang Inc. Class A Common Stock,28.93,50669202798,,2021,Recreational Products/Toys
CPRI,Capri Holdings Limited Ordinary Shares,64.01,9630865228,Hong Kong,2011,Apparel
CPS,Cooper-Standard Holdings Inc. Common Stock,21.54,365990814,United States,NA,Auto Parts:O.E.M.
CPSR,Capstar Special Purpose Acquisition Corp. Class A Common Stock,9.96,343620000,,2020,
CPT,Camden Property Trust Common Stock,177.66,18156369298,United States,1993,Real Estate Investment Trusts
CPTK,Crown PropTech Acquisitions Class A Ordinary Shares,9.85,339825000,,2021,Business Services
CPUH,Compute Health Acquisition Corp. Class A Common Stock,9.75,1051171875,,2021,
CR,Crane Co. Common Stock,102,5990161038,United States,NA,Office Equipment/Supplies/Services
CRC,California Resources Corporation Common Stock,43.19,3472169221,,2020,Oil & Gas Production
CRD/A,Crawford & Company,7.7,NA,United States,NA,
CRD/B,Crawford & Company,7.53,NA,United States,NA,
CRGY,Crescent Energy Company Class A Common Stock,13.44,579251904,,2021,
CRH,CRH PLC American Depositary Shares,53.02,40879681664,Ireland,NA,Building Materials
CRHC,Cohn Robbins Holdings Corp. Class A Ordinary Shares,9.81,1015335000,United States,2020,Business Services
CRI,Carter's Inc. Common Stock,100.42,4244330732,United States,2003,Department/Specialty Retail Stores
CRK,Comstock Resources Inc. Common Stock,8.6,2003151956,United States,NA,Oil & Gas Production
CRL,Charles River Laboratories International Inc. Common Stock,373.42,18844415875,United States,2000,EDP Services
CRM,Salesforce.com Inc Common Stock,254.54,250721900000,United States,2004,Computer Software: Prepackaged Software
CRS,Carpenter Technology Corporation Common Stock,29.78,1435011659,United States,NA,Steel/Iron Ore
CRT,Cross Timbers Royalty Trust Common Stock,11.81,70860000,United States,1992,Oil & Gas Production
CRU,Crucible Acquisition Corporation Class A Common Stock,9.73,314704688,,2021,
CRY,CryoLife Inc. Common Stock,20.25,796423995,United States,NA,Medical/Dental Instruments
CS,Credit Suisse Group American Depositary Shares,9.63,23035994657,Switzerland,NA,Investment Bankers/Brokers/Service
CSAN,Cosan S.A. ADS,15.12,7061733055,,2021,Automotive Aftermarket
CSL,Carlisle Companies Incorporated Common Stock,245.81,12852070152,United States,NA,
CSLT,Castlight Health Inc. Class B Common Stock,1.5,243196673,,2014,Managed Health Care
CSPR,Casper Sleep Inc. Common Stock,6.67,277623009,,2020,Diversified Commercial Services
CSR,D/B/A Centerspace Common Stock,110.49,1577856312,United States,NA,Real Estate Investment Trusts
CSR^C,D/B/A Centerspace 6.625% Series C,25.75,NA,United States,NA,
CSTA,Constellation Acquisition Corp I Class A Ordinary Shares,9.76,386740000,,2021,Business Services
CSTM,Constellium SE Ordinary Shares (France),17.89,2534608078,Netherlands,2013,Aluminum
CSV,Carriage Services Inc. Common Stock,65.91,1097549204,United States,NA,Other Consumer Services
CTA^A,E.I. du Pont de Nemours and Company Preferred Stock,93.88,NA,United States,NA,
CTA^B,E.I. du Pont de Nemours and Company Preferred Stock,109.98,NA,United States,NA,
CTBB,Qwest Corporation 6.5% Notes due 2056,25.36,0,United States,2016,
CTDD,Qwest Corporation 6.75% Notes due 2057,25.53,0,United States,2017,
CTK,CooTek (Cayman) Inc. American Depositary Shares each representing 50 Class A Ordinary Shares,0.53,35617848,,2018,EDP Services
CTLT,Catalent Inc. Common Stock,128.08,21925764419,United States,2014,Biotechnology: Pharmaceutical Preparations
CTO,CTO Realty Growth Inc. Common Stock,60.93,363273800,United States,NA,Real Estate Investment Trusts
CTO^A,CTO Realty Growth Inc. 6.375% Series A Cumulative Redeemable Preferred Stock,25.97,NA,United States,NA,
CTOS,Custom Truck One Source Inc. Common Stock,7.8,1929029653,Cayman Islands,2017,Diversified Commercial Services
CTR,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock,23.42,166694169,United States,2012,Investment Managers
CTRA,Coterra Energy Inc. Common Stock,20.01,16279688556,United States,NA,Oil & Gas Production
CTS,CTS Corporation Common Stock,37.63,1212609892,United States,NA,Industrial Machinery/Components
CTT,CatchMark Timber Trust Inc. Class A Common Stock,8.82,431195900,United States,2013,Real Estate Investment Trusts
CTV,Innovid Corp. Common Stock,6.88,818318332,,2021,Advertising
CTVA,Corteva Inc. Common Stock,47.35,34513841150,,2019,Major Chemicals
CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034,26.81,0,United States,2019,Major Banks
CUBE,CubeSmart Common Shares,56.78,12424072852,United States,NA,Real Estate Investment Trusts
CUBI,Customers Bancorp Inc Common Stock,65.71,2129817358,United States,NA,Major Banks
CUBI^E,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series E,25.38,NA,United States,NA,
CUBI^F,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,25.19,NA,United States,NA,
CUK,Carnival Plc ADS ADS,19.11,22261813561,United States,NA,
CULP,Culp Inc. Common Stock,8.99,109765293,United States,NA,Textiles
CURO,CURO Group Holdings Corp. Common Stock,15.95,645214759,,2017,Diversified Financial Services
CURV,Torrid Holdings Inc. Common Stock,9.89,1088808060,,2021,Clothing/Shoe/Accessory Stores
CUZ,Cousins Properties Incorporated Common Stock,40.28,5989154090,United States,NA,Real Estate Investment Trusts
CVE,Cenovus Energy Inc Common Stock,12.17,24555134189,Canada,NA,
CVEO,Civeo Corporation (Canada) Common Shares,18.59,264910846,,2014,
CVI,CVR Energy Inc. Common Stock,16.76,1684892839,United States,2007,Integrated oil Companies
CVII,Churchill Capital Corp VII Class A Common Stock,9.83,1695675000,,2021,
CVNA,Carvana Co. Class A Common Stock,225.29,19281954932,United States,2017,Other Specialty Stores
CVS,CVS Health Corporation Common Stock,103.7,136890082731,United States,NA,Managed Health Care
CVX,Chevron Corporation Common Stock,117.95,227370554146,United States,NA,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,138.79,5446078796,United States,NA,Industrial Machinery/Components
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,21.38,3793877665,,2021,Computer Software: Prepackaged Software
CWEN,Clearway Energy Inc. Class C Common Stock,35.61,4144200745,United States,2015,Electric Utilities: Central
CWH,Camping World Holdings Inc. Class A Commom Stock,41.07,1842124456,United States,2016,Other Specialty Stores
CWK,Cushman & Wakefield plc Ordinary Shares,22.47,5021355643,,2018,Real Estate
CWT,California Water Service Group Common Stock,71.24,3747793920,United States,NA,Water Supply
CX,Cemex S.A.B. de C.V. Sponsored ADR,6.64,97800365621,Mexico,NA,Building Materials
CXE,MFS High Income Municipal Trust Common Stock,5.05,159194523,United States,1989,Investment Managers
CXH,MFS Investment Grade Municipal Trust Common Stock,10.08,91831270,United States,1989,Investment Managers
CXM,Sprinklr Inc. Class A Common Stock,15.76,4026710102,,2021,Computer Software: Prepackaged Software
CXW,CoreCivic Inc. Common Stock,10.19,1225701755,United States,NA,Real Estate Investment Trusts
CYD,China Yuchai International Limited Common Stock,13.05,533200685,Singapore,1994,Construction/Ag Equipment/Trucks
CYH,Community Health Systems Inc. Common Stock,13.36,1764961758,United States,2000,Hospital/Nursing Management
CZOO,Cazoo Group Ltd Class A Ordinary Shares,6.2,4663347602,,NA,Automotive Aftermarket
D,Dominion Energy Inc. Common Stock,78.42,63513017355,United States,NA,Electric Utilities: Central
DAC,Danaos Corporation Common Stock,71.02,1462776214,Greece,2006,Marine Transportation
DAL,Delta Air Lines Inc. Common Stock,39.16,25062941113,United States,NA,Air Freight/Delivery Services
DAN,Dana Incorporated Common Stock,22.8,3288538392,United States,NA,Auto Parts:O.E.M.
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,10,1239809560,,2019,Other Consumer Services
DAR,Darling Ingredients Inc. Common Stock,67.81,10972214924,United States,NA,Farming/Seeds/Milling
DASH,DoorDash Inc. Class A Common Stock,150.11,51497401287,,2020,Industrial Machinery/Components
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),168.05,9409808001,United States,2018,EDP Services
DB,Deutsche Bank AG Common Stock,12.59,26376050000,Germany,NA,Commercial Banks
DBD,Diebold Nixdorf Incorporated Common Stock,8.65,677772938,United States,NA,EDP Services
DBI,Designer Brands Inc. Class A Common Stock,14.56,1068032391,United States,NA,Clothing/Shoe/Accessory Stores
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,18.92,291329176,United States,2012,
DBRG,DigitalBridge Group Inc.,8.24,4675992649,United States,2014,Real Estate Investment Trusts
DBRG^H,DigitalBridge Group Inc. 7.125% Series H,25.25,NA,United States,NA,
DBRG^I,DigitalBridge Group Inc. 7.15% Series I,25.78,NA,United States,NA,
DBRG^J,DigitalBridge Group Inc. 7.125% Series J,26.2,NA,United States,NA,
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund Inc. Common Stock,9.23,138263997,,2017,Finance/Investors Services
DCI,Donaldson Company Inc. Common Stock,59.18,7310626009,United States,NA,Pollution Control Equipment
DCO,Ducommun Incorporated Common Stock,46.73,557170622,United States,NA,Military/Government/Technical
DCP,DCP Midstream  LP Common Units,26.84,5592749356,United States,NA,Natural Gas Distribution
DCP^B,DCP Midstream LP 7.875% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,25.42,NA,United States,NA,
DCP^C,DCP Midstream LP 7.95% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,25.55,NA,United States,NA,
DCUE,Dominion Energy Inc. 2019 Series A Corporate Units,100.57,0,United States,2019,Electric Utilities: Central
DD,DuPont de Nemours Inc. Common Stock,80.59,41753988627,,2017,Wholesale Distributors
DDD,3D Systems Corporation Common Stock,21.18,2720557678,United States,NA,Computer peripheral equipment
DDF,Delaware Investments Dividend & Income Fund Inc. Common Stock,11.26,85701639,United States,1993,Finance/Investors Services
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),14.09,3325963282,,2021,
DDS,Dillard's Inc. Common Stock,254.38,4943665182,United States,NA,Department/Specialty Retail Stores
DDT,Dillard's Capital Trust I,27.24,0,United States,NA,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,345.71,106273771460,United States,NA,Industrial Machinery/Components
DEA,Easterly Government Properties Inc. Common Stock,22.88,1970838309,United States,2015,Real Estate Investment Trusts
DECK,Deckers Outdoor Corporation Common Stock,365.86,10042169183,United States,1993,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,33.79,5929664506,United States,2006,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock,57.05,43579634857,,2018,Computer Manufacturing
DEN,Denbury Inc. Common Stock,76.06,3812311037,,2020,Oil & Gas Production
DEO,Diageo plc Common Stock,221.79,129043996521,United Kingdom,NA,Beverages (Production/Distribution)
DESP,Despegar.com Corp. Ordinary Shares,9.99,700292287,,2017,Other Consumer Services
DEX,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest,10.15,114736940,United States,2007,Finance Companies
DFIN,Donnelley Financial Solutions Inc. Common Stock,47.12,1561738212,,2016,Investment Managers
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,27.48,532365533,,2013,Investment Managers
DFS,Discover Financial Services Common Stock,115.77,34152150000,United States,NA,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,233.58,54122005204,United States,2009,Department/Specialty Retail Stores
DGX,Quest Diagnostics Incorporated Common Stock,170.11,20868205295,United States,NA,Medical Specialities
DHF,BNY Mellon High Yield Strategies Fund Common Stock,3.12,226914861,United States,1998,Finance Companies
DHI,D.R. Horton Inc. Common Stock,108.36,38595815637,United States,NA,
DHR,Danaher Corporation Common Stock,326.58,233366513551,United States,NA,Medical Specialities
DHR^A,Danaher Corporation 4.75% Mandatory Convertible Preferred Stock Series A,2173.59,NA,United States,NA,
DHR^B,Danaher Corporation 5.00% Mandatory Convertible Preferred Stock Series B,1672.09,NA,United States,NA,
DHT,DHT Holdings Inc.,5.11,851775072,Jersey,2005,Marine Transportation
DHX,DHI Group Inc. Common Stock,6.13,303692822,United States,2007,Diversified Commercial Services
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,17.72,644421698,,2014,Finance Companies
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share),4.94,23826812891,,2021,
DIN,Dine Brands Global Inc. Common Stock,78.1,1344649496,United States,NA,Restaurants
DIS,Walt Disney Company (The) Common Stock,154.87,281500376667,United States,NA,Movies/Entertainment
DK,Delek US Holdings Inc. Common Stock,15.51,1149677773,United States,2017,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,42.56,1849617721,United States,2012,Oil & Gas Production
DKS,Dick's Sporting Goods Inc Common Stock,111.83,9685141040,United States,2002,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,95.53,9651372782,United States,2005,EDP Services
DLNG,Dynagas LNG Partners LP Common Units,2.84,104518381,Greece,NA,
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,25.464,NA,Greece,NA,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,25.05,NA,Greece,NA,
DLR,Digital Realty Trust Inc. Common Stock,175.26,49736589539,United States,2004,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,25.97,NA,United States,NA,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,27.37,NA,United States,NA,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,26.42,NA,United States,NA,
DLX,Deluxe Corporation Common Stock,31.74,1352308790,United States,NA,Advertising
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,18.27,875969382,,2020,Investment Managers
DM,Desktop Metal Inc. Class A Common Stock,4.75,1477318091,,2019,Computer peripheral equipment
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,14.32,263418892,,2013,Trusts Except Educational Religious and Charitable
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,15.28,173055458,United States,2010,Trusts Except Educational Religious and Charitable
DMS,Digital Media Solutions Inc. Class A Ordinary Shares,4.55,281602471,United States,2018,Advertising
DMYS,dMY Technology Group Inc. VI Class A Common Stock,9.81,296139375,,2021,
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,8.88,14853045864,United States,2021,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,20.22,8718643157,United States,2020,EDP Services
DNMR,Danimer Scientific Inc. Common Stock,8.2,822823383,,2020,Plastic Products
DNOW,NOW Inc. Common Stock,8.61,951911535,,2014,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,10.95,3733691613,United States,1987,Investment Managers
DNZ,D and Z Media Acquisition Corp. Class A Common Stock,9.75,350390625,,2021,
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,18.85,4152456773,United States,2013,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,80.77,8583137855,United States,2021,Retail: Computer Software & Peripheral Equipment
DOCS,Doximity Inc. Class A Common Stock,50.63,9493688006,,2021,Retail: Computer Software & Peripheral Equipment
DOLE,Dole plc Ordinary Shares,12.79,1213485067,,2021,
DOMA,Doma Holdings Inc. Common Stock,5.04,1625774180,,2021,Real Estate
DOOR,Masonite International Corporation Ordinary Shares (Canada),117.6,2796405461,Canada,NA,
DOV,Dover Corporation Common Stock,181.47,26128894980,United States,NA,Industrial Machinery/Components
DOW,Dow Inc. Common Stock,57.06,42202398349,,2019,Industrial Specialties
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,14.07,533672370,United States,2011,Trusts Except Educational Religious and Charitable
DPZ,Domino's Pizza Inc Common Stock,562.4,20449056341,United States,2004,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,37.87,2783959275,China,2010,Semiconductors
DRD,DRDGOLD Limited American Depositary Shares,8.26,706323991,South Africa,NA,Precious Metals
DRE,Duke Realty Corporation Common Stock,65.14,24808588542,United States,NA,Real Estate Investment Trusts
DRH,Diamondrock Hospitality Company Common Stock,9.52,2005100877,United States,2005,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,27.81,NA,United States,NA,
DRI,Darden Restaurants Inc. Common Stock,149.02,19340561147,United States,NA,Restaurants
DRQ,Dril-Quip Inc. Common Stock,19.67,696040358,United States,1997,Metal Fabrications
DS,Drive Shack Inc.,1.46,134456401,United States,NA,Movies/Entertainment
DS^B,Drive Shack Inc. Preferred Series B,25.6,NA,United States,NA,
DS^C,Drive Shack Inc. Preferred Series C,25.1,NA,United States,NA,
DS^D,Drive Shack Inc. Pfd Ser D,25.15,NA,United States,NA,
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,15.98,1629909311,,2013,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,8.38,414152262,United States,1989,Investment Managers
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,12.12,564692701,United States,1998,Finance Companies
DSX,Diana Shipping inc. common stock,3.86,353325108,Greece,2005,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),26.1653,NA,Greece,NA,
DT,Dynatrace Inc. Common Stock,60.6,17275315265,United States,2019,EDP Services
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,26.2,0,United States,2020,Electric Utilities: Central
DTC,Solo Brands Inc. Class A Common Stock,15.17,961742123,,2021,Diversified Commercial Services
DTE,DTE Energy Company Common Stock,119.38,23127162448,United States,NA,Electric Utilities: Central
DTF,DTF Tax-Free Income Inc. Common Stock,14.23,100030738,United States,1991,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,26.2,0,United States,2021,Electric Utilities: Central
DTLA^,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,10.75,NA,,NA,
DTM,DT Midstream Inc. Common Stock,47.69,4613171304,,2021,Oil & Gas Production
DTP,DTE Energy Company 6.25% Corporate Units,51.38,0,United States,NA,Electric Utilities: Central
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,25.75,0,United States,2017,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,104.76,80596411651,United States,NA,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,27.24,NA,United States,NA,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,26.53,0,United States,2018,Power Generation
DV,DoubleVerify Holdings Inc. Common Stock,32.91,5220778818,,2021,Computer Software: Prepackaged Software
DVA,DaVita Inc. Common Stock,113.43,11558517000,United States,NA,Medical/Nursing Services
DVN,Devon Energy Corporation Common Stock,44.2,29923400000,United States,NA,Oil & Gas Production
DWIN,Delwinds Insurance Acquisition Corp. Class A Common Stock,9.87,254534963,,2021,
DX,Dynex Capital Inc. Common Stock,16.93,620752079,United States,NA,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,26.2293,NA,United States,NA,
DXC,DXC Technology Company Common Stock,32.43,8180104803,,NA,EDP Services
DY,Dycom Industries Inc. Common Stock,93.82,2831552148,United States,NA,Water Sewer Pipeline Comm & Power Line Construction
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust Common Shares of Beneficial Interest,20.48,83046400,,2020,Finance/Investors Services
E,ENI S.p.A. Common Stock,27.91,49397304386,Italy,NA,Oil & Gas Production
EAF,GrafTech International Ltd. Common Stock,11.98,3153402052,United States,2018,Metal Fabrications
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,25.38,0,United States,2016,
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,10.74,138925745,United States,2013,Real Estate Investment Trusts
EAT,Brinker International Inc. Common Stock,36.9,1675906193,United States,NA,Restaurants
EB,Eventbrite Inc. Class A Common Stock,17.09,1623707997,United States,2018,EDP Services
EBF,Ennis Inc. Common Stock,19.71,514854036,United States,NA,Office Equipment/Supplies/Services
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),5.81,9115488587,,2016,Electric Utilities: Central
EBS,Emergent Biosolutions Inc. Common Stock,45.64,2455371025,United States,2006,Biotechnology: Pharmaceutical Preparations
EC,Ecopetrol S.A. American Depositary Shares,13.23,27198693531,Colombia,NA,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Trust Common Shares of Beneficial Interest,18.55,92750,,2021,Trusts Except Educational Religious and Charitable
ECC,Eagle Point Credit Company Inc. Common Stock,14.02,483543617,United States,2014,Trusts Except Educational Religious and Charitable
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,24.49,NA,United States,NA,
ECCB,Eagle Point Credit Company Inc. 7.75% Series B Term Preferred Stock due 2026,25.3832,0,United States,2016,Trusts Except Educational Religious and Charitable
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,25.25,0,United States,NA,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,26.0177,0,United States,2021,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,25.25,0,United States,2018,Trusts Except Educational Religious and Charitable
ECCY,Eagle Point Credit Company Inc. 6.75% Notes due 2027,25.15,0,United States,2017,Trusts Except Educational Religious and Charitable
ECL,Ecolab Inc. Common Stock,235.64,67526720221,United States,NA,Package Goods/Cosmetics
ECOM,ChannelAdvisor Corporation Common Stock,25.23,758134958,United States,2013,Computer Software: Prepackaged Software
ECVT,Ecovyst Inc. Common Stock,10.23,1402120823,United States,2017,Major Chemicals
ED,Consolidated Edison Inc. Common Stock,85.1,30104017434,United States,NA,Power Generation
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,5.46,360863003,United States,2007,Finance Companies
EDF,Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,6.68,112517232,United States,2010,Investment Managers
EDI,Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interests,7.64,75912003,United States,2012,Finance Companies
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,5.07,221893792,Argentina,2007,Electric Utilities: Central
EDR,Endeavor Group Holdings Inc. Class A Common Stock,33.63,8882014894,,2021,Movies/Entertainment
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands),1.9,3224235748,China,2006,Other Consumer Services
EEA,The European Equity Fund Inc. Common Stock,10.15,71118939,United States,NA,Trusts Except Educational Religious and Charitable
EEX,Emerald Holding Inc. Common Stock,3.94,276325844,United States,2017,Advertising
EFC,Ellington Financial Inc. Common Stock,17.13,983735936,United States,2010,Real Estate Investment Trusts
EFC^A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,26.08,NA,United States,NA,
EFC^B,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,25.18,NA,United States,NA,
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest,9.26,218912308,United States,2017,Trusts Except Educational Religious and Charitable
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,15.11,427917482,United States,2003,Trusts Except Educational Religious and Charitable
